ImgID,Quality,Country,Season,Variety,PlotSize_acres,EstimatedYieldKG,YieldPerAcre
id_190dd11d,0,Kenya,2016 LR,H_6213,0.25,742.35,2969.38
id_e242c0a8,0,Kenya,2017 LR,H 6213,0.25,742.35,2969.38
id_6cb37491,0,Kenya,2017 LR,H 6213,1,2954.21,2954.21
id_5ad1dab8,0,Kenya,2017 LR,DK 8031,0.5,1466.99,2933.97
id_f876d3c5,2,Kenya,2016 LR,H_614D,0.5,1464.46,2928.91
id_3ca52b4a,0,Kenya,2017 LR,H 614D,1,2921.33,2921.33
id_c1fac41a,0,Kenya,2017 LR,Pioneer P3812W,0.5,1458.64,2917.28
id_2c106ee3,,Rwanda,2018B,pan_4m2,0.6177625,1800,2913.74
id_470a0693,3,Kenya,2016 LR,H_6213,0.06,174.67,2911.21
id_a9e55497,0,Kenya,2016 LR,SC_PUNDA_MILIA_53,0.5,1454.34,2908.68
id_93e919cf,0,Kenya,2016 LR,H_6213,0.5,1451.81,2903.62
id_8e233480,0,Kenya,2016 LR,H_6213,1,2893.5,2893.5
id_bdd78d4b,3,Kenya,2017 LR,DK 8031,1,2890.98,2890.98
id_be573e00,0,Kenya,2017 LR,H 6213,1,2883.39,2883.39
id_53f1b20d,,Rwanda,2018B,pan_4m2,0.350889095,1011.04,2881.36
id_c6676723,3,Kenya,2016 LR,H_6213,1,2870.74,2870.74
id_047d706d,0,Kenya,2017 LR,DK 8031,0.5,1430.31,2860.62
id_7e665171,0,Kenya,2016 LR,H_6213,0.5,1430.31,2860.62
id_d0f965d1,0,Kenya,2017 LR,SC PUNDA MILIA 53,1,2860.62,2860.62
id_33ddb374,0,Kenya,2016 LR,DK_8031,0.5,1429.05,2858.09
id_5f91b771,3,Kenya,2017 LR,H 614D,1,2850.51,2850.51
id_6928da9a,0,Kenya,2017 LR,SC Tembo 73,0.25,710.73,2842.92
id_ee0c0a8e,2,Kenya,2017 LR,Pioneer P3812W,1,2842.92,2842.92
id_7ed6019c,1,Kenya,2017 LR,H 6213,0.5,1416.4,2832.8
id_abb28e4e,,Rwanda,2018B,unknown,0.153205095,433.38,2828.76
id_5766f9f2,0,Kenya,2017 LR,PAN 691,0.5,1413.87,2827.74
id_667f4a8e,0,Kenya,2017 LR,H 6213,1.5,4236.91,2824.61
id_678fa6f4,3,Kenya,2016 LR,PAN_691,0.7,1968.8,2812.57
id_87a323bd,3,Kenya,2016 LR,WE_1101,0.25,703.14,2812.57
id_86d8a208,0,Kenya,2017 LR,DK 8031,0.5,1403.75,2807.51
id_ef255102,0,Kenya,2016 LR,H_6213,0.5,1399.96,2799.92
id_5e02532c,0,Kenya,2017 LR,WH 505,0.5,1398.7,2797.39
id_dd940257,2,Kenya,2016 LR,H_6213,0.75,2088.56,2784.75
id_b0a5627b,0,Kenya,2016 LR,PAN_691,1,2764.51,2764.51
id_f805d799,0,Kenya,2016 LR,H_6213,0.5,1380.99,2761.98
id_62377829,0,Kenya,2016 LR,PAN_691,0.5,1379.73,2759.45
id_3ee10bd7,0,Kenya,2016 LR,H_6213,0.75,2067.69,2756.92
id_f60e0e51,0,Kenya,2017 LR,WH 505,0.5,1377.2,2754.39
id_d31aeb83,1,Kenya,2017 LR,H 6213,0.25,687.97,2751.86
id_8df337d9,0,Kenya,2016 LR,PN_15,0.5,1372.14,2744.28
id_6341beca,0,Kenya,2017 LR,H 6213,0.25,685.44,2741.75
id_bec14cb9,0,Kenya,2016 LR,H_6213,0.5,1370.87,2741.75
id_5538b495,0,Kenya,2016 LR,H 6213,0.5,1369.61,2739.22
id_ce15f44c,0,Kenya,2017 LR,Pioneer P3812W,0.25,684.17,2736.69
id_e384487e,0,Kenya,2017 LR,SC SIMBA 61,0.5,1364.8,2729.61
id_74ce6f93,0,Kenya,2017 LR,H 614D,0.5,1359.49,2718.98
id_e7ba4a9c,3,Kenya,2017 LR,H 6213,0.5,1358.23,2716.45
id_d3f1ea4e,,Rwanda,2018B,pan_53,1.1119725,3019.5,2715.44
id_053eebbf,,Rwanda,2018B,unknown,0.644944059,1748.7,2711.4
id_0f878c3e,,Rwanda,2018B,pan_4m2,0.352124625,954.75,2711.4
id_9d905437,0,Kenya,2017 LR,H 6213,1,2706.34,2706.34
id_dbe28a60,0,Kenya,2017 LR,H 6213,0.5,1350.64,2701.28
id_91132592,0,Kenya,2017 LR,WH 509,1,2698.75,2698.75
id_7bcb6bdf,0,Kenya,2017 LR,WH 505,0.5,1345.58,2691.16
id_3cda3f7c,,Tanzania,2016 LR,H 614D,7,18767.31,2681.04
id_903380e3,0,Kenya,2017 LR,H 6213,0.5,1340.52,2681.04
id_cca29abe,0,Kenya,2017 LR,PAN 691,1,2678.52,2678.52
id_225d758a,,Tanzania,2018 LR,PAN 691,1,2669.8,2669.8
id_f6820437,,Rwanda,2018B,pan_4m2,0.3706575,985.5,2658.79
id_d4299e19,0,Kenya,2016 LR,H_6213,1,2650.69,2650.69
id_39d9c7e4,0,Kenya,2016 LR,H 6213,1,2648.16,2648.16
id_39c10e7f,2,Kenya,2017 LR,WH 505,0.5,1316.49,2632.99
id_da32bea6,,Tanzania,2018 LR,DK 8053,2,5260.92,2630.46
id_4c357a25,0,Kenya,2017 LR,DK 8031,0.5,1310.17,2620.34
id_26f6fd20,0,Kenya,2017 LR,H 6213,0.5,1308.91,2617.81
id_bdd40ce4,0,Kenya,2017 LR,WH 509,0.5,1308.91,2617.81
id_d0743751,0,Kenya,2016 LR,DK_8031,0.5,1307.64,2615.28
id_217df8ca,0,Kenya,2016 LR,H_6213,0.125,325.65,2605.17
id_6e519992,0,Kenya,2017 LR,Pioneer P3812W,0.5,1302.58,2605.17
id_c230b2f9,0,Kenya,2017 LR,Pioneer P3812W,1,2605.17,2605.17
id_fa0e790a,3,Kenya,2016 LR,H 6213,1,2600.11,2600.11
id_6b35bd20,0,Kenya,2017 LR,PN 15,0.5,1299.55,2599.1
id_d45be053,0,Kenya,2017 LR,H 6213,0.5,1298.79,2597.58
id_f9825a40,0,Kenya,2016 LR,PAN 691,0.5,1298.79,2597.58
id_0c242f0c,0,Kenya,2017 LR,H 6213,0.5,1296.26,2592.52
id_114fd353,0,Kenya,2016 LR,H_6213,0.5,1296.26,2592.52
id_3a858ccb,0,Kenya,2017 LR,WH 505,0.75,1944.39,2592.52
id_51f8937a,0,Kenya,2017 LR,SC SIMBA 61,0.25,647.62,2590.5
id_afffbaf6,,Rwanda,2018B,pan_53,0.790736,2041.6,2581.9
id_ac7ec809,0,Kenya,2017 LR,H 6213,0.25,644.97,2579.87
id_bfbf2cbc,0,Kenya,2017 LR,WH 509,0.5,1289.94,2579.87
id_cc4786fa,0,Kenya,2017 LR,SC SIMBA 61,0.25,644.97,2579.87
id_f4d783c7,3,Kenya,2016 LR,PAN_691,0.5,1288.67,2577.34
id_e96803d3,2,Kenya,2017 LR,H 6213,0.5,1286.14,2572.29
id_77f8636e,0,Kenya,2016 LR,H_6213,0.25,642.44,2569.76
id_c77eabb8,0,Kenya,2016 LR,H_6218,0.75,1927.32,2569.76
id_1d827803,0,Kenya,2016 LR,H_6213,0.5,1283.61,2567.23
id_3f0de4d8,0,Kenya,2016 LR,H_6213,0.5,1282.35,2564.7
id_3eda7c8a,0,Kenya,2017 LR,DK 8031,0.5,1279.82,2559.64
id_dd3f9036,0,Kenya,2016 LR,PAN_691,0.5,1277.29,2554.58
id_dde40bef,0,Kenya,2016 LR,H_6213,1,2554.58,2554.58
id_7ad4f539,0,Kenya,2017 LR,WH 505,0.25,638.01,2552.05
id_52cce97f,0,Kenya,2016 LR,H 6213,0.5,1270.97,2541.93
id_917f80c7,0,Kenya,2016 LR,H_6213,0.5,1269.7,2539.4
id_7272ef48,0,Kenya,2017 LR,H 6213,1,2536.88,2536.88
id_93d16e54,3,Kenya,2016 LR,H_6213,0.5,1267.17,2534.35
id_a042fff0,0,Kenya,2017 LR,H 614D,0.5,1267.17,2534.35
id_0c33c326,2,Kenya,2016 LR,H_6213,0.25,632.95,2531.82
id_bca4c7f0,0,Kenya,2017 LR,DK 8031,0.5,1264.64,2529.29
id_ee1380fe,3,Kenya,2017 LR,H 6213,0.5,1264.64,2529.29
id_f4461bcd,1,Kenya,2017 LR,H 614D,0.5,1264.64,2529.29
id_3f1cc613,0,Kenya,2017 LR,WH 505,1.5,3782.55,2521.7
id_b8fd0d51,0,Kenya,2017 LR,Pioneer P3812W,1,2520.69,2520.69
id_8acb361c,2,Kenya,2016 LR,H_6213,0.5,1258.32,2516.64
id_734e62dc,3,Kenya,2017 LR,H 614D,0.5,1257.06,2514.11
id_cc59c474,3,Kenya,2017 LR,H 614D,0.5,1257.06,2514.11
id_81a98ec8,0,Kenya,2017 LR,WH 509,1,2509.05,2509.05
id_832fdbaf,,Tanzania,2018 LR,Panner_691,0.5,1253.4,2506.8
id_28afc176,0,Kenya,2016 LR,H_6213,0.5,1249.97,2499.95
id_5404dd3d,0,Kenya,2017 LR,DK 8031,0.25,624.1,2496.41
id_78c8f9ed,0,Kenya,2017 LR,H 6213,0.75,1870.41,2493.88
id_e11de6ae,0,Kenya,2017 LR,WH 505,1.5,3740.82,2493.88
id_3ae00fef,0,Kenya,2016 LR,H_6213,1,2490.34,2490.34
id_c1ded42e,0,Kenya,2017 LR,H 6213,0.5,1243.14,2486.29
id_8e92fba8,,Rwanda,2018B,pan_4m2,0.069189399,171.73,2482.07
id_81ded2de,0,Kenya,2017 LR,H 6213,0.25,619.68,2478.7
id_b3546891,,Tanzania,2018 LR,Panner_691,1,2478.7,2478.7
id_b3ebca5f,3,Kenya,2017 LR,SC PUNDA MILIA 53,0.5,1239.35,2478.7
id_ee329dab,0,Kenya,2017 LR,PAN 691,0.5,1238.09,2476.17
id_d1a6cc34,0,Kenya,2017 LR,DK 8031,0.5,1235.81,2471.62
id_793d0afe,0,Kenya,2016 LR,H 6218,0.5,1235.56,2471.11
id_550359db,,Rwanda,2018B,pan_4m2,0.49421,1220,2468.58
id_faff6030,0,Kenya,2016 LR,WH_505,0.25,617.15,2468.58
id_f90087d1,,Tanzania,2018 LR,Ks_614,1,2467.46,2467.46
id_6a4edb47,2,Kenya,2016 LR,H 6213,0.5,1231.76,2463.53
id_717ad6bc,0,Kenya,2016 LR,H_6213,0.5,1231.76,2463.53
id_c775dac0,3,Kenya,2016 LR,H_614D,1,2461,2461
id_5311d2fc,0,Kenya,2017 LR,H 6213,0.25,614.62,2458.47
id_4dba0f44,0,Kenya,2016 LR,H_6213,1,2453.41,2453.41
id_07789b77,0,Kenya,2016 LR,WH 505,1,2450.88,2450.88
id_28cc9d21,0,Kenya,2017 LR,H 614D,0.5,1225.44,2450.88
id_3e0594bf,0,Kenya,2017 LR,H 6213,0.5,1222.91,2445.82
id_26a976f8,2,Kenya,2017 LR,SC Tembo 73,1,2443.29,2443.29
id_3c4e62af,,Tanzania,2017 LR,KS 625,2,4878.71,2439.36
id_b91d562d,0,Kenya,2017 LR,H 6218,0.5,1217.85,2435.7
id_12711c9b,3,Kenya,2016 LR,WE_1101,1,2433.17,2433.17
id_466f10ec,0,Kenya,2017 LR,SC DUMA 43,0.75,1822.98,2430.65
id_378f3809,0,Kenya,2017 LR,H 614D,0.25,607.03,2428.12
id_8d2a0395,,Tanzania,2018 LR,DK 8053,1,2428.12,2428.12
id_d479967e,0,Kenya,2017 LR,H 614D,0.25,607.03,2428.12
id_0dab03a7,0,Kenya,2017 LR,H 614D,1.5,3634.59,2423.06
id_1032e94b,0,Kenya,2017 LR,H 6213,0.5,1211.53,2423.06
id_9dc4b912,0,Kenya,2016 LR,PAN_691,0.5,1210.26,2420.53
id_ffc659b8,0,Kenya,2017 LR,H 6213,1,2418,2418
id_65d0eabc,0,Kenya,2016 LR,H_6213,0.75,1811.6,2415.47
id_2d3a4a8d,,Rwanda,2018B,hybrid_unknown,0.378070655,911.62,2411.25
id_9744bd79,0,Kenya,2016 LR,H_6213,0.5,1205.21,2410.41
id_7769d995,0,Kenya,2017 LR,PN 15,0.5,1202.68,2405.35
id_57775200,0,Kenya,2017 LR,H 614D,1,2402.82,2402.82
id_74269c89,0,Kenya,2017 LR,H 6213,0.5,1201.41,2402.82
id_82a2fd70,0,Kenya,2017 LR,DK 8031,0.5,1201.41,2402.82
id_ac480b21,2,Kenya,2017 LR,H 614D,0.5,1200.15,2400.29
id_398703a2,3,Kenya,2016 LR,H 6213,0.5,1198.88,2397.76
id_0885abc9,0,Kenya,2017 LR,H 6213,0.5,1198.63,2397.26
id_2b7f2b96,3,Kenya,2017 LR,DK 8031,0.9,2155.71,2395.24
id_460a0bfc,0,Kenya,2017 LR,DK 8031,0.25,598.81,2395.24
id_695a6a89,0,Kenya,2017 LR,H 614D,0.5,1197.62,2395.24
id_7a331b14,0,Kenya,2017 LR,H 6218,0.5,1197.62,2395.24
id_84fbeb8c,0,Kenya,2016 LR,H_614D,0.5,1196.35,2392.71
id_d86bce42,3,Kenya,2017 LR,SC SIMBA 61,5,11963.53,2392.71
id_85e31c7a,0,Kenya,2016 LR,WE_1101,0.25,596.91,2387.65
id_b922486f,,Rwanda,2018B,sc_403,0.0741315,177,2387.65
id_fc54163b,3,Kenya,2017 LR,H 6213,0.5,1193.82,2387.65
id_72589d29,1,Kenya,2016 LR,WH_505,0.25,596.28,2385.12
id_76fd19ee,0,Kenya,2016 LR,WH_505,0.5,1191.29,2382.59
id_c63d8c33,,Rwanda,2018B,sc_637,1.7050245,4057.2,2379.55
id_5cbbb4d1,0,Kenya,2017 LR,H 6213,0.25,594.38,2377.53
id_7c1251f5,2,Kenya,2017 LR,SC DUMA 43,0.75,1783.15,2377.53
id_89248735,0,Kenya,2017 LR,PN 15,0.5,1188.77,2377.53
id_bbd16fbb,0,Kenya,2016 LR,WH_505,0.25,593.75,2375
id_2d25d623,0,Kenya,2017 LR,H 6218,0.75,1779.35,2372.47
id_d0b045d5,0,Kenya,2017 LR,SC DUMA 43,0.5,1186.24,2372.47
id_cfd56d3f,0,Kenya,2017 LR,WH 505,0.5,1183.71,2367.41
id_b37286b2,,Tanzania,2018 LR,Panner_691,1,2366.29,2366.29
id_8c99de16,3,Kenya,2017 LR,Pioneer P3812W,0.5,1182.44,2364.88
id_f21fd1cc,,Tanzania,2018 LR,Panner_691,1,2360.67,2360.67
id_30e26b7d,0,Kenya,2017 LR,WH 505,0.5,1178.65,2357.3
id_9970e0af,0,Kenya,2017 LR,DK 8031,0.5,1178.65,2357.3
id_c010946e,0,Kenya,2016 LR,DK_8031,0.25,589.32,2357.3
id_ddf48fb2,,Rwanda,2018B,pan_53,0.609113816,1434.63,2355.27
id_f8f3a8f9,0,Kenya,2017 LR,PAN 691,0.5,1176.12,2352.24
id_8c411cfe,0,Kenya,2017 LR,PAN 691,0.5,1174.85,2349.71
id_9b8e40f5,,Rwanda,2018B,sc_403,0.449731119,1055.6,2347.18
id_c18a4c22,,Rwanda,2018B,other,0.43243375,1015,2347.18
id_ee606efc,0,Kenya,2016 LR,H_6213,1.5,3520.77,2347.18
id_f0e981e5,0,Kenya,2016 LR,H 614D,0.5,1173.59,2347.18
id_00b02049,2,Kenya,2016 LR,WE_1101,0.25,585.53,2342.12
id_290b9c02,0,Kenya,2016 LR,H_6213,1,2342.12,2342.12
id_d6e235f5,3,Kenya,2017 LR,H 6213,0.5,1171.06,2342.12
id_1e177f61,1,Kenya,2017 LR,DK 8031,0.5,1168.53,2337.06
id_7a411cbd,0,Kenya,2017 LR,H 6213,0.5,1168.53,2337.06
id_90514649,0,Kenya,2017 LR,SC SIMBA 61,0.5,1168.53,2337.06
id_a5fcff30,0,Kenya,2017 LR,H 6218,0.5,1168.53,2337.06
id_bd6b7a27,0,Kenya,2017 LR,DK 90-89,0.5,1166.76,2333.52
id_629e3a4a,,Tanzania,2016 LR,DK 90-89,4,9330.26,2332.57
id_9a567881,,Tanzania,2018 LR,Panner_691,1,2332.57,2332.57
id_44be2ce9,0,Kenya,2016 LR,H_6213,0.5,1166,2332
id_d2e0e4cf,0,Kenya,2017 LR,WH 505,1,2332,2332
id_f74acb39,0,Kenya,2017 LR,DK 8031,0.5,1165.5,2330.99
id_06fa341d,0,Kenya,2016 LR,PAN_691,1,2329.47,2329.47
id_60a8fe16,0,Kenya,2016 LR,DK 8031,0.25,581.74,2326.94
id_65fdc448,0,Kenya,2017 LR,SC DUMA 43,0.5,1163.47,2326.94
id_8ec9782e,0,Kenya,2017 LR,DK 90-89,1,2326.94,2326.94
id_799f4f9a,0,Kenya,2016 LR,H_614D,1,2319.36,2319.36
id_bd8fb8d6,0,Kenya,2016 LR,H_614D,1,2319.36,2319.36
id_15684d71,0,Kenya,2017 LR,H 614D,0.2,463.37,2316.83
id_0df60b86,,Tanzania,2017 LR,DK 8031,2,4631.41,2315.7
id_6c28ba65,3,Kenya,2016 LR,WH_505,0.25,578.57,2314.3
id_45c6375c,0,Kenya,2017 LR,H 614D,0.5,1155.88,2311.77
id_e2acf55b,0,Kenya,2017 LR,WH 505,0.5,1155.88,2311.77
id_0e3772f7,0,Kenya,2017 LR,H 6218,0.5,1155.38,2310.76
id_8e24f83e,0,Kenya,2017 LR,DK 8031,0.5,1154.11,2308.23
id_2077e0de,,Rwanda,2018B,hybrid_unknown,0.11119725,256.5,2306.71
id_6fa7c9a8,0,Kenya,2017 LR,DK 8031,0.5,1153.36,2306.71
id_aef9c2a6,0,Kenya,2016 LR,H_614D,0.5,1153.36,2306.71
id_1dc5aefb,0,Kenya,2017 LR,DK 8031,1,2301.65,2301.65
id_75bc21c8,0,Kenya,2017 LR,DK 90-89,0.5,1150.83,2301.65
id_a6edb5a8,0,Kenya,2016 LR,WH_505,0.5,1150.83,2301.65
id_e9327cd5,0,Kenya,2017 LR,H 6213,0.25,575.41,2301.65
id_faedf1cd,0,Kenya,2017 LR,H 6213,0.25,575.41,2301.65
id_6ccd0f94,0,Kenya,2017 LR,WH 505,0.25,574.78,2299.12
id_b6cd53c4,0,Kenya,2016 LR,H_6213,1,2299.12,2299.12
id_4b8a2ac5,,Rwanda,2018B,pan_53,0.058069673,133.48,2298.62
id_39679603,0,Kenya,2016 LR,PAN_691,0.5,1148.3,2296.59
id_3a21b4bb,0,Kenya,2017 LR,DK 8031,0.5,1148.3,2296.59
id_60f1ece6,0,Kenya,2017 LR,WH 509,0.5,1148.3,2296.59
id_4cef9dd5,3,Kenya,2016 LR,SC_SIMBA_61,0.5,1145.77,2291.53
id_25701baa,,Tanzania,2018 LR,Panner_691,1,2287.6,2287.6
id_8fb98a5c,0,Kenya,2017 LR,SC SIMBA 61,0.5,1143.24,2286.48
id_fd83a365,0,Kenya,2017 LR,H 614D,1,2286.48,2286.48
id_1ec572e8,0,Kenya,2017 LR,H 6213,1,2283.95,2283.95
id_699af412,3,Kenya,2016 LR,H_6213,0.25,570.99,2283.95
id_753f1e18,0,Kenya,2017 LR,Pioneer P3812W,0.5,1141.97,2283.95
id_e2f8e982,0,Kenya,2017 LR,SC SIMBA 61,0.75,1712.96,2283.95
id_b2dc6c34,0,Kenya,2017 LR,SC DUMA 43,0.25,570.35,2281.42
id_d10a0572,3,Kenya,2017 LR,SC DUMA 43,0.25,570.35,2281.42
id_1f3298b5,0,Kenya,2017 LR,WH 505,0.5,1138.18,2276.36
id_20dcd0e8,2,Kenya,2017 LR,SC DUMA 43,0.75,1707.27,2276.36
id_8d959641,0,Kenya,2016 LR,PAN_691,0.25,569.09,2276.36
id_94c4e51f,0,Kenya,2017 LR,DK 8031,0.25,569.09,2276.36
id_e4b3d383,0,Kenya,2017 LR,SC DUMA 43,0.5,1138.18,2276.36
id_137b77b8,0,Kenya,2017 LR,PAN 691,1,2275.35,2275.35
id_5ed491c6,0,Kenya,2017 LR,SC DUMA 43,0.25,567.83,2271.3
id_cd9642a8,0,Kenya,2016 LR,WH_509,1,2271.3,2271.3
id_062a2ee4,3,Kenya,2017 LR,PAN 691,0.5,1134.39,2268.77
id_c65a28d3,0,Kenya,2016 LR,SC_DUMA_43,0.25,567.19,2268.77
id_24c4773f,0,Kenya,2016 LR,DK 8031,0.5,1133.12,2266.24
id_438d0bc3,3,Kenya,2016 LR,H_6213,0.5,1133.12,2266.24
id_ec5c9534,3,Kenya,2016 LR,PAN_691,0.8,1810.97,2263.71
id_2cdd88ba,1,Kenya,2017 LR,DK 8031,0.5,1130.59,2261.18
id_82319796,0,Kenya,2017 LR,H 6213,0.5,1130.59,2261.18
id_de01f5b0,2,Kenya,2016 LR,H_6213,0.25,565.3,2261.18
id_166c7c28,0,Kenya,2017 LR,H 6213,2,4517.31,2258.65
id_88e7930c,0,Kenya,2017 LR,Pioneer P3812W,0.25,564.03,2256.12
